user_id,course_id,rating
291,102,2.0
867,110,4.0
962,265,4.0
794,328,4.0
454,117,5.0
665,12,2.0
304,293,3.0
740,271,4.0
343,326,5.0
364,379,4.0
21,107,1.0
815,117,5.0
793,292,5.0
783,324,5.0
470,275,2.0
893,373,3.0
539,157,5.0
291,136,3.0
420,158,5.0
945,77,4.0
345,350,3.0
351,108,3.0
909,159,5.0
312,241,4.0
298,36,4.0
886,263,5.0
172,376,4.0
559,379,1.0
918,118,4.0
220,393,5.0
783,10,3.0
633,125,5.0
152,208,4.0
859,293,3.0
664,19,5.0
167,202,5.0
915,164,2.0
439,242,3.0
561,108,5.0
631,149,2.0
432,293,4.0
988,160,4.0
969,78,4.0
441,254,2.0
320,291,4.0
658,323,4.0
637,167,5.0
459,280,2.0
531,68,5.0
554,288,3.0
36,232,4.0
676,387,4.0
353,379,3.0
999,196,4.0
828,130,4.0
428,27,4.0
776,230,4.0
67,300,3.0
259,342,4.0
727,172,4.0
209,291,5.0
798,116,2.0
812,36,5.0
477,287,5.0
311,208,4.0
670,121,5.0
12,145,3.0
648,3,5.0
237,279,4.0
104,118,5.0
872,248,4.0
633,286,4.0
966,231,5.0
784,38,3.0
509,142,2.0
663,114,3.0
361,341,3.0
761,331,5.0
702,154,4.0
311,262,5.0
939,143,5.0
101,244,3.0
239,49,2.0
594,291,4.0
670,134,2.0
7,14,2.0
405,163,3.0
130,206,5.0
768,266,5.0
793,253,5.0
164,95,4.0
110,336,5.0
381,387,5.0
902,25,4.0
482,392,4.0
964,25,3.0
173,12,5.0
608,92,3.0
846,20,4.0
828,390,1.0
43,254,4.0
663,287,2.0
467,266,3.0
382,267,5.0
927,56,3.0
983,83,3.0
149,329,5.0
494,371,3.0
400,252,4.0
772,103,3.0
101,359,3.0
221,308,4.0
422,231,5.0
485,116,4.0
768,7,4.0
982,14,3.0
598,133,1.0
386,62,4.0
246,230,3.0
650,314,3.0
901,65,3.0
986,242,4.0
693,338,2.0
672,164,4.0
497,188,4.0
917,308,3.0
629,282,2.0
546,52,3.0
594,232,5.0
733,42,5.0
397,113,5.0
17,120,3.0
129,130,4.0
29,97,5.0
826,232,4.0
715,247,4.0
955,214,4.0
79,343,4.0
467,69,5.0
449,87,4.0
845,200,2.0
43,385,2.0
408,152,1.0
148,277,4.0
927,366,5.0
436,399,5.0
499,28,4.0
442,261,4.0
352,8,3.0
550,111,2.0
220,337,3.0
768,360,4.0
962,49,3.0
836,78,2.0
217,378,4.0
767,370,3.0
676,140,4.0
770,374,4.0
160,351,4.0
288,380,3.0
522,271,2.0
402,183,2.0
488,315,4.0
985,114,5.0
414,213,4.0
435,174,1.0
917,122,5.0
631,39,5.0
233,18,4.0
661,126,5.0
360,238,5.0
236,224,3.0
598,150,5.0
534,348,1.0
466,258,2.0
463,283,5.0
463,88,3.0
278,171,5.0
353,184,4.0
630,19,3.0
30,295,4.0
281,128,4.0
136,362,4.0
584,129,5.0
515,388,2.0
224,320,5.0
491,10,5.0
302,231,4.0
66,112,5.0
500,86,5.0
314,54,5.0
974,14,5.0
437,377,4.0
912,243,5.0
70,312,4.0
698,132,4.0
132,20,5.0
227,154,4.0
469,310,4.0
405,202,4.0
772,188,5.0
20,273,4.0
516,221,4.0
728,229,4.0
55,388,2.0
536,162,4.0
915,159,1.0
915,305,4.0
211,152,3.0
542,314,5.0
927,356,4.0
432,173,2.0
183,113,4.0
146,319,3.0
763,251,5.0
825,118,4.0
401,198,4.0
752,47,2.0
710,47,5.0
75,359,4.0
400,325,3.0
573,138,3.0
973,107,1.0
254,118,3.0
849,365,5.0
915,35,4.0
581,349,4.0
980,49,4.0
704,261,5.0
602,260,1.0
295,129,5.0
612,326,2.0
686,316,2.0
569,31,5.0
985,36,1.0
408,364,1.0
342,220,3.0
951,220,5.0
906,336,4.0
991,106,5.0
582,44,3.0
228,184,1.0
850,250,4.0
533,196,3.0
987,7,2.0
399,160,4.0
148,143,5.0
917,154,4.0
896,142,5.0
314,21,3.0
131,87,3.0
984,305,4.0
857,341,4.0
445,161,3.0
708,383,3.0
327,86,4.0
593,152,2.0
354,28,5.0
681,86,4.0
610,198,5.0
842,341,2.0
22,112,3.0
842,98,5.0
435,125,5.0
588,344,5.0
294,59,4.0
704,243,5.0
960,32,3.0
532,154,3.0
878,372,4.0
376,232,5.0
726,116,5.0
923,381,4.0
58,284,5.0
447,66,2.0
254,387,5.0
97,42,4.0
774,167,4.0
601,379,4.0
915,197,5.0
504,268,4.0
920,297,4.0
597,72,5.0
559,399,5.0
104,210,3.0
468,268,3.0
848,387,4.0
283,114,3.0
486,220,3.0
520,101,5.0
688,107,3.0
990,366,2.0
544,137,5.0
814,375,5.0
575,109,5.0
533,158,4.0
260,102,5.0
571,247,2.0
837,25,2.0
196,281,5.0
666,382,4.0
227,189,3.0
265,372,5.0
646,211,5.0
377,395,5.0
364,364,3.0
728,226,5.0
588,286,3.0
277,156,5.0
190,163,2.0
41,307,4.0
314,75,4.0
176,384,4.0
837,108,4.0
783,347,4.0
724,381,4.0
66,248,2.0
935,201,4.0
1,247,3.0
191,67,4.0
921,303,3.0
191,21,1.0
629,302,5.0
996,39,5.0
764,333,5.0
115,225,5.0
219,91,4.0
558,38,3.0
501,328,2.0
659,30,5.0
507,84,1.0
424,344,1.0
614,215,2.0
83,110,5.0
426,275,5.0
980,173,5.0
63,73,3.0
375,121,3.0
943,398,3.0
437,317,2.0
465,286,1.0
673,376,3.0
654,203,2.0
955,334,5.0
708,68,5.0
514,361,3.0
598,120,3.0
695,16,3.0
881,158,4.0
779,64,5.0
469,255,4.0
304,276,3.0
684,201,5.0
324,35,5.0
728,65,1.0
343,332,5.0
174,47,2.0
659,26,3.0
406,232,5.0
550,276,5.0
179,132,4.0
348,28,3.0
76,67,4.0
194,162,4.0
361,257,3.0
934,262,5.0
722,61,4.0
730,283,2.0
380,362,5.0
93,109,4.0
424,142,4.0
749,340,3.0
653,189,1.0
302,369,3.0
555,380,3.0
807,341,4.0
704,318,4.0
822,382,3.0
344,37,3.0
529,344,4.0
571,183,5.0
397,192,5.0
659,395,2.0
558,45,4.0
620,19,4.0
456,109,4.0
240,301,5.0
988,250,5.0
153,347,1.0
670,215,1.0
852,338,3.0
324,161,4.0
594,147,4.0
936,84,5.0
332,378,3.0
41,258,4.0
105,202,4.0
843,266,4.0
563,118,2.0
551,28,3.0
454,155,5.0
605,166,5.0
350,296,5.0
937,268,3.0
833,311,4.0
986,357,2.0
49,127,3.0
279,294,5.0
438,107,4.0
611,375,4.0
998,122,4.0
364,354,4.0
195,156,4.0
41,63,2.0
75,48,1.0
825,118,5.0
929,167,4.0
668,7,2.0
568,321,3.0
148,275,1.0
444,126,4.0
881,294,5.0
392,176,3.0
204,321,2.0
625,365,5.0
926,376,5.0
579,75,2.0
666,155,3.0
363,234,4.0
262,315,2.0
245,30,2.0
122,125,4.0
124,357,4.0
646,196,5.0
201,369,2.0
59,126,4.0
109,224,3.0
68,69,3.0
305,397,4.0
854,309,5.0
947,387,3.0
416,109,3.0
497,341,3.0
533,300,5.0
836,385,4.0
280,125,4.0
111,354,4.0
435,273,5.0
850,104,3.0
664,250,4.0
999,341,2.0
517,145,5.0
886,147,2.0
91,117,4.0
822,173,4.0
246,149,5.0
487,5,5.0
20,46,1.0
103,349,3.0
72,189,4.0
122,215,2.0
88,373,4.0
664,131,1.0
770,344,5.0
806,386,3.0
277,161,3.0
22,253,4.0
561,59,4.0
476,188,4.0
190,175,4.0
876,55,5.0
505,131,5.0
647,21,4.0
274,388,5.0
14,242,4.0
346,53,3.0
92,367,4.0
428,264,1.0
206,81,3.0
872,388,3.0
390,54,4.0
822,191,5.0
556,162,4.0
996,270,5.0
271,215,4.0
702,296,5.0
749,338,4.0
792,217,3.0
380,41,3.0
813,65,1.0
521,344,4.0
648,63,5.0
593,392,5.0
289,379,2.0
231,41,5.0
201,328,4.0
33,48,4.0
574,216,4.0
684,360,3.0
547,227,2.0
462,131,5.0
218,255,3.0
795,393,5.0
858,42,4.0
691,63,5.0
241,52,4.0
900,222,2.0
231,237,4.0
541,36,5.0
839,187,4.0
796,66,4.0
574,134,4.0
620,44,4.0
958,331,3.0
348,231,5.0
385,377,4.0
633,116,4.0
259,359,3.0
411,137,4.0
225,307,3.0
664,315,3.0
608,233,4.0
830,52,3.0
807,386,5.0
613,113,5.0
699,113,5.0
220,54,1.0
736,225,4.0
638,130,4.0
730,160,4.0
247,324,2.0
184,123,3.0
294,280,4.0
610,198,4.0
511,240,5.0
201,124,4.0
464,349,5.0
764,346,4.0
147,148,4.0
820,128,4.0
872,129,4.0
953,151,4.0
298,99,3.0
144,346,5.0
572,369,3.0
304,254,5.0
37,160,4.0
9,233,3.0
816,208,5.0
152,54,5.0
920,116,2.0
968,104,4.0
227,112,2.0
99,153,1.0
896,366,4.0
822,163,4.0
681,161,1.0
398,277,3.0
504,384,5.0
195,128,4.0
460,371,4.0
22,238,4.0
230,365,4.0
776,283,4.0
277,286,4.0
879,317,4.0
516,35,5.0
512,17,5.0
158,46,5.0
99,380,1.0
280,349,4.0
181,95,5.0
993,116,3.0
981,161,3.0
128,18,4.0
735,54,4.0
872,174,2.0
288,342,4.0
639,155,3.0
986,273,5.0
393,299,5.0
39,170,5.0
867,306,5.0
525,316,4.0
825,36,5.0
321,264,5.0
400,142,5.0
471,143,4.0
834,288,4.0
854,51,4.0
575,190,3.0
314,58,1.0
692,170,5.0
54,101,4.0
53,60,3.0
5,103,2.0
877,372,4.0
867,311,2.0
656,269,5.0
106,158,1.0
120,319,4.0
58,346,1.0
117,318,5.0
393,396,4.0
58,122,3.0
802,96,4.0
560,89,4.0
885,385,5.0
999,192,4.0
790,349,4.0
76,154,4.0
997,86,1.0
974,220,1.0
94,238,5.0
453,204,1.0
474,341,4.0
289,254,4.0
23,250,4.0
837,100,1.0
223,394,4.0
442,96,5.0
325,4,4.0
336,247,5.0
988,384,4.0
852,152,4.0
675,380,2.0
957,179,5.0
268,323,5.0
168,330,3.0
285,397,3.0
302,386,1.0
754,35,3.0
90,264,4.0
970,90,3.0
115,105,4.0
826,114,4.0
413,376,5.0
277,249,4.0
869,192,4.0
99,36,4.0
999,96,3.0
190,224,5.0
369,183,5.0
217,355,2.0
273,369,4.0
880,217,3.0
699,19,4.0
396,233,5.0
265,284,5.0
384,52,4.0
367,144,4.0
99,396,3.0
891,53,5.0
569,39,2.0
42,186,2.0
223,122,4.0
215,221,4.0
658,239,2.0
74,253,5.0
174,141,3.0
393,283,5.0
517,29,2.0
339,136,4.0
833,342,5.0
511,327,5.0
132,292,4.0
415,275,5.0
182,167,4.0
858,19,2.0
451,173,1.0
220,126,2.0
476,317,5.0
935,1,4.0
348,190,4.0
508,369,2.0
929,117,5.0
556,173,5.0
829,303,5.0
886,213,5.0
229,164,4.0
532,47,4.0
526,143,4.0
373,54,4.0
656,12,5.0
784,358,4.0
668,373,3.0
348,164,4.0
698,316,4.0
732,357,5.0
